Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
thera-technicien-de-production-homme,Technicien de Production (Homme),THERA,,BPF,Stage / SIVP,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thera/jobs/thera-technicien-de-production-homme
thera-analyste-physico-chimie-poste-nuit,Analyste Physico-chimie (Poste Nuit),THERA,,HPLC,Stage / SIVP,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thera/jobs/thera-analyste-physico-chimie-poste-nuit
thera-superviseur-magasin,Superviseur Magasin,THERA,,QAD | ERP,Stage / SIVP,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thera/jobs/thera-superviseur-magasin
thera-ingenieur-maintenance,Ingénieur Maintenance,THERA,,GMAO | GTC,Stage / SIVP,6-12 mois,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thera/jobs/thera-ingenieur-maintenance
clevertech-stagiaire-en-communication-and-creation-de-contenu-digital-h-f,Stagiaire en Communication & Création de contenu digital (H/F),CleverTech,,Création de contenu | stratégie de communication dig... | Gestion des réseaux sociaux,Stage / SIVP,Sans expérience,,,Confidentiel,,Stage,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/clevertech/jobs/clevertech-stagiaire-en-communication-and-creation-de-contenu-digital-h-f
hexabyte-technico-commercial-el-kef,Technico-commercial El Kef,Hexabyte,,Technico-commercial,Stage / SIVP,1-2 ans,,,500 - 1000 DT,,"CDI, CIVP",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/hexabyte/jobs/hexabyte-technico-commercial-el-kef
clinique-elmourouj-assistante-marketing,ASSISTANTE MARKETING,Clinique El Mourouj,,RESEAUX SOCIAUX | Bonne maîtrise des outils info...,Stage / SIVP,1-6 mois,,,700 DT,,CIVP,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/clinique-elmourouj/jobs/clinique-elmourouj-assistante-marketing
hexabyte-commercial-terrain-grand-tunis,Commercial Terrain Grand Tunis,Hexabyte,,Excellente aisance à l’oral et...,Stage / SIVP,1-2 ans,,,500 - 1000 DT,,"CIVP, CDI",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/hexabyte/jobs/hexabyte-commercial-terrain-grand-tunis
thalassomahdiapalace-medecin-generaliste-comptable-hygieniste-plombier-masseur-se-agent-daccueil-nettoyeuse,"MÉDECIN GÉNÉRALISTE, COMPTABLE, HYGIÉNISTE, PLOMBIER, MASSEUR(SE), AGENT D'ACCUEIL, NETTOYEUSE",ThalassoMahdiaPalace,,-une capacité à diagnostiquer ...,Stage / SIVP,1-2 ans,,,750 - 1200 DT,,"CIVP, CDD",Télétravail complet,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thalassomahdiapalace/jobs/thalassomahdiapalace-medecin-generaliste-comptable-hygieniste-plombier-masseur-se-agent-daccueil-nettoyeuse
ccsav-technicien-ne-comptable,Technicien(ne) comptable,CCSAV,,Expérience dans un environneme... | Aisance dans un environnement ... | Tenue de livre,Stage / SIVP,1-2 ans,,,1000 - 1350 DT,,"CIVP, CDI",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/ccsav/jobs/ccsav-technicien-ne-comptable
pharmacie-ramzi-turki-aide-preparateur-ou-technicien-en-pharmacie,Aide préparateur ou technicien en pharmacie,PHARMACIE RAMZI TURKI,,organisé | présentable | vigilant,Stage / SIVP,Sans expérience,,,700 - 1100 DT,,"CDI, CDD, CIVP, Stage",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/pharmacie-ramzi-turki/jobs/pharmacie-ramzi-turki-aide-preparateur-ou-technicien-en-pharmacie
