Job_ID,Titre,Societe,Description,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
237983,Technicien superieur labo,PHARMAGHREB,La Société Pharmaghreb recrute : Technicien(e) supérieur(e) en chimie Analytique ou fine ou diplôme équivalent ( BTS ) avec un minimum d’ancienneté de 2-4 années dans le laboratoire physicochimique …,santé / paramédical / optique,2-4 an,,800 - 1100 TND,"La Soukra, Ariana",CDI | CDD,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237983/technicien-superieur-labo/
237974,Commercial,TRUSTSAFE SECURITY,"Chargé(e) de la gestion administrative et de la relation clientèle au sein de notre entreprise.📌 Missions :• Suivi et gestion de la relation avec les clients• Préparation des devis, factures …",informatique / télécoms,,,500 - 1000 TND,Tunis,CDI | CDD | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237974/commercial-informatique/
237986,Superviseur Senior Électricité & Déploiement,CRIT,"CRIT recrute pour le compte de son client, un Superviseur Senior Électricité & Déploiement - Coordinateur planification:Mission principale :Le Coordinateur Déploiement des Compteurs Intelligents est responsable de la coordination des opérations entre la …",recrutement / ressources humaines,,Senior,,Ben Arous,CDI | Indépendant/Freelance,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237986/superviseur-senior-%C3%A9lectricit%C3%A9-d%C3%A9ploiement/
237990,Ingénieur Qualité,ROLCAR TUNISIA,"La société ROLCar, spécialisée dans la fabrication de lève-vitres manuels et électriques destinés au secteur automobile, recrute un jeune diplômé (Homme) ""Ingénieur Qualité"" pour renforcer son équipe.🎯 Missions :Mettre en …",industrie électro-mécaniques,,,800 - 1000 TND,"Nabeul, Nabeul",SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237990/ing%C3%A9nieur-qualit%C3%A9/
237992,Approvisionneur,ASTEELFLASH,Mission Assurer le passage des ordres d’achat en commandes fournisseurs dans les délais.Assurer la réception des accusés des commandes fournisseurs.Alerter le responsable hiérarchique pour toute non-conformité dans les accusées des fournisseurs.Envoyer …,électronique / électricité / énergie,,,,"La Soukra, Ariana",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237992/approvisionneur/
237988,ingénieur Électromécanique,ROLCAR TUNISIA,"La société ROLCar, spécialisée dans la fabrication de lève-vitres manuels et électriques destinés au secteur automobile, recrute un jeune diplômé(Homme) ""ingénieur Électromécanique"" pour renforcer son équipe.🎯 Missions :Assurer la maintenance …",industrie électro-mécaniques,,,800 - 1000 TND,"Nabeul, Nabeul",SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237988/ing%C3%A9nieur-%C3%A9lectrom%C3%A9canique/
237989,Ingénieur Développement Mobile,Entreprise Anonyme,"INGÉNIEUR DÉVELOPPEMENT MOBILE Missions principales En tant qu’Ingénieur Mobile, vous serez au cœur du développement de nos applications. Développement mobile Concevoir et développer l’application mobile (Android & iOS) Assurer la …",,,,1400 - 2500 TND,"El Kram, Tunis",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237989/ing%C3%A9nieur-d%C3%A9veloppement-mobile/
237994,Directeur Financier,Entreprise Anonyme,"MissionsRattaché au Directeur Général et membre du Codir, vous modélisez les flux financiers de l’entreprise dans le respect des normes en vigueur afin de consolider les informations nécessaires pour toute …",,,Directeur,7000 - 10000 TND,Ariana,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237994/directeur-financier/
237995,Ingénieur Electrique,PROBAT,"PROBAT recrute 2 ingénieurs en électricité pour suivi des projets : Plans et attachement. La connaissance pratique en AUTOCAD est exigée, Revit (optionnel). La mission sera sur chantier : suivi …",architecture / immobilier / BTP,,,1800 - 2800 TND,"Le Bardo, Tunis",CDI | CDD | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237995/ing%C3%A9nieur-electrique/
238005,Chef de Projet dynamique,CREATIV INCENTIVE TUNISIA,"📍 Lieu : La Marsa Plage 🧭 Description du poste En tant que Chef de Projet en tourisme d’affaires, vous êtes responsable de la conception, de l’organisation et de la …",tourisme / hôtellerie / restauration / loisirs,,,600 - 1200 TND,"La Marsa, Tunis",CDI | Saisonnier,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238005/chef-de-projet-dynamique/
238007,Comptable,Entreprise Anonyme,"CMR AUDIT, cabinet d’expertise comptable situé à El Menzah 9A, recrute des comptables dans le cadre du renforcement de son équipe. Nous sommes à la recherche de candidats motivés, rigoureux …",,,,,"El Menzah, Tunis",CDI | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238007/comptables/
238008,Responsable études et chiffrage,TUNISIE PROFILES ALUMINIUM,"Rejoignez le leader du secteur de l'aluminium en Tunisie !Tunisie Profilés Aluminium est une société tunisienne leader dans le domaine de l'aluminium depuis plus que 45 ans, elle est spécialisée …",industrie métalliques,,,,"Megrine, Ben Arous",,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238008/responsable-%C3%A9tudes-et-chiffrage/
238009,Responsable Ressources Humaines (H/F),VAKAY,"Dans le cadre de notre développement, nous recherchons un(e) Responsable Ressources Humaines dynamique et expérimenté(e) pour rejoindre notre équipe à Sfax.Mission principale : Définir et piloter la stratégie RH en alignement …",autres,,,1200 - 1600 TND,Sfax,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238009/responsable-ressources-humaines-hf/
238011,Ingénieur Technico-commercial,GEI,Nous recrutons : un Ingénieur Technico-commercial Vous êtes ingénieur de formation avec un sens aigu du commerce ?Vous souhaitez relever le défi de développer la vente de machines de nettoyage professionnelles auprès d’une …,commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238011/ingenieur-technico-commercial/
238012,Chargé(e) de Service Client BtoB,ACTIVE CONTACT,Vous avez une solide expérience en service client BtoB et des compétences techniques ? Vous êtes dynamique et capable de jongler entre différents types de demandes ? Nous recherchons un(e) Chargé(e) de …,call center / télévente,,,900 - 1000 TND,"Centre ville, Tunis",CDI | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238012/charg%C3%A9e-de-service-client-btob/
238015,Infirmière,ASTEELFLASH,Missions principales :Assurer les soins infirmiers et les premiers secours en cas d’accident de travail ou de malaiseGarantir le suivi médical du personnel en coordination avec la médecine du travailParticiper …,électronique / électricité / énergie,,,,"La Soukra, Ariana",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238015/infirmi%C3%A8re/
238017,Conducteur machine,Entreprise Anonyme,"Multinationale activant dans le secteur pharmaceutique recrute :Conducteur machine:Exigences du poste:Responsable du saisi des paramètres de la machine, notamment la pression, la stabilité et la vitesse, pour s’assurer que la ligne …",,,,1000 - 2000 TND,Tunis,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238017/conducteur-machine/
238018,Auditeur Comptable,Entreprise Anonyme,"Cabinet d'expertise comptable sis à rue Syrie- Tunis, cherche à recruter :- Titulaire d’un Mastère Professionnel en Comptabilité ou d’un diplôme de CES/CCA de Révision Comptable.- Maîtrise des logiciels de bureautique (notamment Excel, …",,,,700 - 1000 TND,"Centre ville, Tunis",CDI | CDD | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238018/auditeur-comptable/
